Customer_ID,Customer_Name,Customer_Email,Amount
201,Alice Brown,alice@example.com,150
202,Bob Green,bob@example.com,400
203,Eva Adams,evaa@example.com,210
204,George Wilson,georgew@example.com,180
205,Linda Scott,lindas@example.com,350.5
206,Henry Ford,henryf@example.com,500
207,Karen White,karenw@example.com,270.25
208,Liam Gray,liamg@example.com,320.75
209,Olivia Hall,oliviah@example.com,400
210,Noah King,noahk@example.com,600
211,Sophia Young,sophiay@example.com,550
212,James Hill,jamesh@example.com,420
213,Mia Allen,miaa@example.com,300
214,Lucas Wright,lucasw@example.com,380.5
215,Amelia Baker,ameliab@example.com,250
