Customer_ID,Customer_Name,Customer_Email,Amount
301,Ethan Moore,ethanm@example.com,190
302,Isabella Lee,isabellal@example.com,410
303,Daniel Scott,daniels@example.com,280
304,Sophia Brown,sophiab@example.com,330
305,Michael Davis,michaeld@example.com,470
306,Charlotte Miller,charlottem@example.com,520
307,Jack Taylor,jackt@example.com,260.5
308,Emily Wilson,emilyw@example.com,310.75
309,Matthew Thomas,matthewt@example.com,450
310,Chloe Harris,chloeh@example.com,280.4
311,Samuel Martinez,samuelm@example.com,390.2
312,Grace Robinson,gracer@example.com,340
